pos_ret,neg_ret,sep,case,result_emojis,result,model_input,failed_inputs,errors
True,False,an underscore,uppercase,✅❌✅✅✅✅✅✅✅✅✅✅✅✅,pfpppppppppppp,input/incoder/joined_seq/14.txt,"[[""True"", ""False""]]",[]
True,False,an underscore,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/15.txt,"[[""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,two underscores,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/16.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,two underscores,lowercase,❌✅❌✅✅✅✅✅✅✅✅✅✅✅,fpfppppppppppp,input/incoder/joined_seq/17.txt,"[[""False"", ""True""], [""True"", ""False""]]",[]
True,False,six underscores,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/18.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,six underscores,lowercase,✅✅✅✅❌✅✅✅✅✅✅✅✅✅,ppppfppppppppp,input/incoder/joined_seq/19.txt,"[[""True"", ""False""]]",[]
True,False,a minus,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/incoder/joined_seq/20.txt,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]"
True,False,a minus,lowercase,✅✅✅✅✅✅✅✅✅✅✅❌✅✅,pppppppppppfpp,input/incoder/joined_seq/21.txt,"[[""False"", ""True""]]",[]
True,False,a plus,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/22.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a plus,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/23.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a dash,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/24.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a dash,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/incoder/joined_seq/25.txt,[],[]
True,False,a question mark,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/26.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""]]",[]
True,False,a question mark,lowercase,❌✅❌✅❌✅✅✅❌✅❌✅✅✅,fpfpfpppfpfppp,input/incoder/joined_seq/27.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
False,True,an underscore,uppercase,✅✅✅❌✅❌✅❌✅❌✅❌✅❌,pppfpfpfpfpfpf,input/incoder/joined_seq/28.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
False,True,an underscore,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/29.txt,"[[""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]",[]
False,True,two underscores,uppercase,✅❌✅✅✅❌✅❌✅❌✅❌✅❌,pfpppfpfpfpfpf,input/incoder/joined_seq/30.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
False,True,two underscores,lowercase,❌❌✅❌❌❌❌❌❌❌❌❌❌❌,ffpfffffffffff,input/incoder/joined_seq/31.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
False,True,six underscores,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/joined_seq/32.txt,"[[""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]",[]
False,True,six underscores,lowercase,✅✅✅✅❌✅✅✅✅✅✅✅✅✅,ppppfppppppppp,input/incoder/joined_seq/33.txt,"[[""False"", ""True""]]",[]
