op,example_input,input,result,result_emojis,model_input,expected,actual
min,"[1, 2, 3, 2, 3, 4, 2]",[[]],e,💀,input/incoder/rolling/0.txt,,
min,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",f,❌,input/incoder/rolling/0.txt,"[1, 1, 1, 1]",1
min,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",f,❌,input/incoder/rolling/0.txt,"[4, 3, 2, 1]",1
min,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/incoder/rolling/0.txt,"[3, 2, 2, 2, 2]",2
min,"[1, 2, 2, 2]",[[]],e,💀,input/incoder/rolling/1.txt,,
min,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",p,✅,input/incoder/rolling/1.txt,,
min,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",p,✅,input/incoder/rolling/1.txt,,
min,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",p,✅,input/incoder/rolling/1.txt,,
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],e,💀,input/incoder/rolling/2.txt,,
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",f,❌,input/incoder/rolling/2.txt,"[1, 1, 1, 1]",1
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",f,❌,input/incoder/rolling/2.txt,"[4, 3, 2, 1]",1
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",f,❌,input/incoder/rolling/2.txt,"[3, 2, 2, 2, 2]",2
max,"[1, 2, 3, 2, 3, 4, 2]",[[]],e,💀,input/incoder/rolling/3.txt,,
max,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",f,❌,input/incoder/rolling/3.txt,"[1, 2, 3, 4]","[4, 4, 4, 4, 4, 4, 4]"
max,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",f,❌,input/incoder/rolling/3.txt,"[4, 4, 4, 4]","[4, 4, 4, 4, 4, 4, 4]"
max,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/incoder/rolling/3.txt,"[3, 3, 3, 100, 100]","[100, 100, 100, 100, 100, 100, 100]"
max,"[1, 2, 2, 2]",[[]],p,✅,input/incoder/rolling/4.txt,,
max,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",e,💀,input/incoder/rolling/4.txt,,
max,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",e,💀,input/incoder/rolling/4.txt,,
max,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",e,💀,input/incoder/rolling/4.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],e,💀,input/incoder/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",e,💀,input/incoder/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",e,💀,input/incoder/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",e,💀,input/incoder/rolling/5.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]",[[]],p,✅,input/incoder/rolling/6.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",p,✅,input/incoder/rolling/6.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",p,✅,input/incoder/rolling/6.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",p,✅,input/incoder/rolling/6.txt,,
sum,"[1, 2, 2, 2]",[[]],p,✅,input/incoder/rolling/7.txt,,
sum,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",p,✅,input/incoder/rolling/7.txt,,
sum,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",p,✅,input/incoder/rolling/7.txt,,
sum,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",p,✅,input/incoder/rolling/7.txt,,
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],f,❌,input/incoder/rolling/8.txt,[],[0]
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",f,❌,input/incoder/rolling/8.txt,"[1, 3, 6, 10]","[0, 1, 3, 6, 10]"
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",f,❌,input/incoder/rolling/8.txt,"[4, 7, 9, 10]","[0, 4, 7, 9, 10]"
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",f,❌,input/incoder/rolling/8.txt,"[3, 5, 8, 108, 111]","[0, 3, 5, 8, 108, 111]"
