small_ret,large_ret,default_ret,small_limit,large_limit,result_emojis,result,model_input,failed_inputs,errors
small,large,,-100,-1,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/0.txt,"[[""None"", ""'small'""], [""'large'"", ""'small'""]]",[]
small,large,,-100,2,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/1.txt,"[[""None"", ""'small'""], [""None"", ""'small'""]]",[]
small,large,,-100,15,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/2.txt,"[[""None"", ""'small'""], [""None"", ""'small'""]]",[]
small,large,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/3.txt,[],[]
small,large,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/6.txt,[],[]
small,large,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/7.txt,[],[]
small,large,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/10.txt,[],[]
small,large,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/11.txt,[],[]
small,large,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/15.txt,[],[]
small,large,None,-100,-1,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/16.txt,"[[""'None'"", ""'small'""], [""'large'"", ""'small'""]]",[]
small,large,None,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/17.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,large,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/18.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,large,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/19.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,large,None,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/22.txt,"[[""'None'"", ""None""]]",[]
small,large,None,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/23.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,large,None,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/26.txt,"[[""'None'"", ""None""]]",[]
small,large,None,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/27.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,large,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/31.txt,"[[""'None'"", ""None""]]",[]
small,large,neither,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/32.txt,"[[""'neither'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""]]",[]
small,large,neither,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/33.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,large,neither,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/34.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,large,neither,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/35.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,large,neither,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/38.txt,"[[""'neither'"", ""'small'""]]",[]
small,large,neither,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/39.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,large,neither,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/42.txt,"[[""'neither'"", ""'small'""]]",[]
small,large,neither,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/43.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,large,neither,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/47.txt,"[[""'neither'"", ""'small'""]]",[]
small,house,,-100,-1,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/small_or_large/96.txt,"[[""None"", ""'house'""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""], [""'house'"", ""None""]]",[]
small,house,,-100,2,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/97.txt,"[[""None"", ""'small'""], [""None"", ""'small'""]]",[]
small,house,,-100,15,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/98.txt,"[[""None"", ""'small'""], [""None"", ""'small'""]]",[]
small,house,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/99.txt,[],[]
small,house,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/102.txt,[],[]
small,house,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/103.txt,[],[]
small,house,,10,15,✅✅✅✅❌❌❌❌,ppppffff,input/incoder/small_or_large/106.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/107.txt,[],[]
small,house,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/111.txt,[],[]
small,house,None,-100,-1,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/112.txt,"[[""'None'"", ""'small'""], [""'house'"", ""'small'""], [""'house'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/113.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/114.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/115.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/118.txt,"[[""'None'"", ""None""]]",[]
small,house,None,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/119.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/122.txt,"[[""'None'"", ""None""]]",[]
small,house,None,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/123.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/127.txt,"[[""'None'"", ""None""]]",[]
small,house,neither,-100,-1,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/small_or_large/128.txt,"[[""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/129.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,house,neither,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/130.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,house,neither,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/incoder/small_or_large/131.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
small,house,neither,2,15,✅✅✅❌✅✅✅✅,pppfpppp,input/incoder/small_or_large/134.txt,"[[""'neither'"", ""'large'""]]",[]
small,house,neither,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/incoder/small_or_large/135.txt,"[[""'neither'"", ""'large'""], [""'neither'"", ""'large'""], [""'neither'"", ""'large'""]]",[]
small,house,neither,10,15,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/138.txt,"[[""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,10,2000,✅✅✅❌❌❌❌❌,pppfffff,input/incoder/small_or_large/139.txt,"[[""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/incoder/small_or_large/143.txt,"[[""'neither'"", ""'small'""]]",[]
