ret_index,cmp_index,cmp,func_name,result_emojis,result,model_input,failed_inputs,errors
first,first,smallest,extract_value,❌❌❌❌❌❌❌❌❌,fffffffff,input/incoder/tuple_list/0.txt,"[[""53"", ""56""], [""51"", ""84""], [""31"", ""36""], [""4"", ""3""], [""3"", ""80""], [""52"", ""25""], [""0"", ""77""], [""9"", ""63""], [""33"", ""9""]]",[]
first,first,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/1.txt,[],[]
first,first,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/2.txt,[],[]
first,first,smallest,some_func,❌❌❌❌❌❌❌❌❌,fffffffff,input/incoder/tuple_list/3.txt,"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""51"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""3"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""52"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""0"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""9"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""33"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",[]
first,first,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/4.txt,[],[]
first,first,smallest,min_max,❌❌❌❌❌❌❌❌❌,fffffffff,input/incoder/tuple_list/5.txt,"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""51"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""3"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""52"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""0"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""9"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""33"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",[]
first,first,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/6.txt,[],[]
first,first,largest,tuple_extract,❌❌❌❌❌❌❌❌❌,fffffffff,input/incoder/tuple_list/7.txt,"[[""53"", ""None""], [""59"", ""None""], [""100"", ""None""], [""98"", ""None""], [""75"", ""None""], [""96"", ""None""], [""89"", ""None""], [""97"", ""None""], [""99"", ""None""]]",[]
first,first,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/8.txt,[],[]
first,first,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/9.txt,[],[]
first,first,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/10.txt,[],[]
first,first,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/11.txt,[],[]
first,second,smallest,extract_value,✅❌✅✅❌❌❌❌❌,pfppfffff,input/incoder/tuple_list/12.txt,"[[""59"", ""51""], [""13"", ""3""], [""78"", ""52""], [""4"", ""0""], [""94"", ""9""], [""99"", ""33""]]",[]
first,second,smallest,tuple_extract,❌❌❌❌❌❌❌❌❌,fffffffff,input/incoder/tuple_list/13.txt,"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""59"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""13"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""78"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""4"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""94"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""99"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",[]
first,second,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/incoder/tuple_list/14.txt,[],[]
