var,val,success_rate
count,1,0.14285714285714285
count,11,0.25
count,5,0.32142857142857145
word_count,True,0.35
input,"[0, 536870911]",0.35
input,"[0, 2047]",0.4
input,"[341, 2047]",0.4
input,"[21877, 32767]",0.4
count,15,0.42857142857142855
input,"[0, 31]",0.45
input,"[0, 32767]",0.45
input,"[1, 3]",0.45
input,"[2, 7]",0.45
input,"[262143, 536870911]",0.45
count,29,0.4642857142857143
count,0,0.5
input,"[0, 7]",0.5
input,"[21, 31]",0.5
count,4,0.5
input,"[0, 3]",0.55
word_count,False,0.6142857142857143
input,"[0, 1]",0.65
count,2,0.6785714285714286
count,3,0.7142857142857143
input,"[1, 1]",0.75
count,6,0.8214285714285714
