var,val,success_rate
factor2,4948938,0.2559055118110236
input,15,0.2826086956521739
input,30,0.2826086956521739
input,45,0.2826086956521739
input,75,0.2826086956521739
input,90,0.2826086956521739
input,105,0.2826086956521739
input,5,0.32608695652173914
input,10,0.32608695652173914
input,20,0.32608695652173914
input,21,0.32608695652173914
input,25,0.32608695652173914
input,35,0.32608695652173914
input,40,0.32608695652173914
input,42,0.32608695652173914
input,50,0.32608695652173914
input,63,0.32608695652173914
input,65,0.32608695652173914
input,70,0.32608695652173914
input,80,0.32608695652173914
input,95,0.32608695652173914
input,100,0.32608695652173914
input,125,0.32608695652173914
input,126,0.32608695652173914
input,3,0.34782608695652173
input,6,0.34782608695652173
input,9,0.34782608695652173
input,18,0.34782608695652173
input,27,0.34782608695652173
input,39,0.34782608695652173
input,54,0.34782608695652173
input,57,0.34782608695652173
input,60,0.34782608695652173
input,69,0.34782608695652173
input,78,0.34782608695652173
input,81,0.34782608695652173
input,87,0.34782608695652173
input,93,0.34782608695652173
input,111,0.34782608695652173
input,114,0.34782608695652173
input,117,0.34782608695652173
input,120,0.34782608695652173
input,123,0.34782608695652173
input,55,0.391304347826087
input,85,0.391304347826087
input,110,0.391304347826087
input,51,0.41304347826086957
input,102,0.41304347826086957
factor1,five,0.43194600674915634
factor1,4,0.4409448818897638
factor1,eleven,0.44769403824521936
input,84,0.45652173913043476
input,12,0.4782608695652174
input,24,0.4782608695652174
input,33,0.4782608695652174
input,36,0.4782608695652174
input,48,0.4782608695652174
input,66,0.4782608695652174
input,72,0.4782608695652174
input,96,0.4782608695652174
input,108,0.4782608695652174
factor2,3,0.5019685039370079
factor2,twenty-three,0.5078740157480315
factor2,a hundred and seventeen,0.5078740157480315
input,68,0.5217391304347826
input,92,0.5217391304347826
factor1,seventeen,0.5498687664041995
factor1,ninety-nine,0.562992125984252
input,99,0.5652173913043478
input,44,0.5869565217391305
input,88,0.5869565217391305
input,115,0.5869565217391305
factor2,5,0.5871766029246345
factor2,23,0.6043307086614174
input,17,0.6086956521739131
input,34,0.6086956521739131
input,119,0.6304347826086957
input,23,0.6521739130434783
input,46,0.6521739130434783
input,77,0.6521739130434783
input,11,0.6739130434782609
input,22,0.6739130434782609
input,121,0.6739130434782609
factor2,11,0.6916010498687664
input,28,0.6956521739130435
input,56,0.6956521739130435
input,112,0.6956521739130435
factor2,17,0.7097862767154106
input,4,0.717391304347826
input,8,0.717391304347826
input,16,0.717391304347826
input,32,0.717391304347826
input,52,0.717391304347826
input,64,0.717391304347826
input,76,0.717391304347826
input,104,0.717391304347826
input,116,0.717391304347826
input,124,0.717391304347826
factor1,three,0.7275590551181103
factor1,144546,0.8
input,7,0.8043478260869565
input,14,0.8043478260869565
input,49,0.8043478260869565
input,91,0.8043478260869565
input,98,0.8043478260869565
input,1,0.8260869565217391
input,2,0.8260869565217391
input,13,0.8260869565217391
input,19,0.8260869565217391
input,26,0.8260869565217391
input,29,0.8260869565217391
input,31,0.8260869565217391
input,37,0.8260869565217391
input,38,0.8260869565217391
input,41,0.8260869565217391
input,43,0.8260869565217391
input,47,0.8260869565217391
input,53,0.8260869565217391
input,58,0.8260869565217391
input,59,0.8260869565217391
input,61,0.8260869565217391
input,62,0.8260869565217391
input,67,0.8260869565217391
input,71,0.8260869565217391
input,73,0.8260869565217391
input,74,0.8260869565217391
input,79,0.8260869565217391
input,82,0.8260869565217391
input,83,0.8260869565217391
input,86,0.8260869565217391
input,89,0.8260869565217391
input,94,0.8260869565217391
input,97,0.8260869565217391
input,101,0.8260869565217391
input,103,0.8260869565217391
input,106,0.8260869565217391
input,107,0.8260869565217391
input,109,0.8260869565217391
input,113,0.8260869565217391
input,118,0.8260869565217391
input,122,0.8260869565217391
input,127,0.8260869565217391
factor1,3,0.8488188976377953
