var,val,success_rate
input,4000,0.0
input,10000,0.0
input,100000,0.0
factor3,11,0.015625
factor2,7,0.020833333333333332
factor2,11,0.03125
factor3,13,0.05555555555555555
digit,3,0.0787037037037037
factor2,13,0.08333333333333333
example_input,50,0.09722222222222222
digit,4,0.09722222222222222
digit,1,0.09722222222222222
input,200,0.10185185185185185
example_input,78,0.10416666666666667
example_input,3298,0.1284722222222222
input,100,0.12962962962962962
input,79,0.1388888888888889
digit,7,0.16666666666666666
input,78,0.17592592592592593
factor3,3819,0.19791666666666666
input,50,0.3333333333333333
factor2,1837,0.3489583333333333
