var,val,success_rate
sep,a question mark,0.16666666666666666
case,uppercase,0.23214285714285715
pos_ret,False,0.24404761904761904
neg_ret,True,0.24404761904761904
input,aab______cbbbc,0.25
sep,a minus,0.25
sep,a dash,0.25
sep,a plus,0.2708333333333333
input,aab_cbbbc,0.2857142857142857
input,AAB_CBBC,0.2857142857142857
input,AAB______CBBC,0.2857142857142857
input,AAB+CBBC,0.2857142857142857
input,AAB-CBBC,0.2857142857142857
input,aab__cbbbc,0.32142857142857145
input,AAB__CBBC,0.32142857142857145
input,AAB?CBBC,0.32142857142857145
input,aab-cbbbc,0.32142857142857145
input,aab?cbbbc,0.35714285714285715
input,aab+cbbbc,0.35714285714285715
pos_ret,True,0.36904761904761907
neg_ret,False,0.36904761904761907
sep,an underscore,0.375
sep,two underscores,0.375
case,lowercase,0.38095238095238093
sep,six underscores,0.4583333333333333
