var,val,success_rate
input,"[['()(', ')']]",0.0
input,"[[')())', '(()()(']]",0.0
input,"[['(())))', '(()())((']]",0.0
input,"[['(()(', '()))()']]",0.0
input,"[[')', '(']]",0.0
input,"[['{}{', '}']]",0.0
input,"[['{{}{{}}', '{}}{}}']]",0.0
input,"[['{}', '{}}']]",0.0
input,"[['{{{{', '{{{}}']]",0.0
input,"[['}{{}', '{{}{']]",0.0
input,"[['}{', '}{']]",0.0
input,"[['}', '{']]",0.0
input,"[['[][', ']']]",0.0
input,"[['[[][[]]', '[]][]]']]",0.0
input,"[['][]]', '[[][][']]",0.0
input,"[['[[]]]]', '[[][]][[']]",0.0
input,"[['[]', '[]]']]",0.0
input,"[['[[][', '[]]][]']]",0.0
input,"[['[[[[', '[[[]]']]",0.0
input,"[['][[]', '[[][']]",0.0
input,"[['][', '][']]",0.0
input,"[['[', ']']]",0.0
input,"[[']', '[']]",0.0
input,"[['<><', '>']]",0.0
input,"[['><>>', '<<><><']]",0.0
input,"[['<<>>>>', '<<><>><<']]",0.0
input,"[['<<><', '<>>><>']]",0.0
input,"[['>', '<']]",0.0
open,[,0.08333333333333333
open,{,0.4166666666666667
open,(,0.5833333333333334
open,<,0.5833333333333334
input,"[[')', ')']]",1.0
input,"[['(()(())', '())())']]",1.0
input,"[['()', '())']]",1.0
input,"[['((((', '((())']]",1.0
input,"[[')(()', '(()(']]",1.0
input,"[[')(', ')(']]",1.0
input,"[['(', ')']]",1.0
input,"[['}', '}']]",1.0
input,"[['}{}}', '{{}{}{']]",1.0
input,"[['{{}}}}', '{{}{}}{{']]",1.0
input,"[['{{}{', '{}}}{}']]",1.0
input,"[['{', '}']]",1.0
input,"[[']', ']']]",1.0
input,"[['>', '>']]",1.0
input,"[['<<><<>>', '<>><>>']]",1.0
input,"[['<>', '<>>']]",1.0
input,"[['<<<<', '<<<>>']]",1.0
input,"[['><<>', '<<><']]",1.0
input,"[['><', '><']]",1.0
input,"[['<', '>']]",1.0
