var,val,success_rate
agg,product,0.0
below,100,0.047619047619047616
below,197,0.047619047619047616
factors,"[2, 3, 5]",0.11904761904761904
factors,"[5, 3, 2]",0.11904761904761904
below,124,0.19047619047619047
example_below,10,0.22448979591836735
example_below,5,0.2261904761904762
factors,"[2, 5]",0.23809523809523808
factors,"[2, 9]",0.2619047619047619
example_below,15,0.2767857142857143
factors,"[5, 7, 9]",0.2857142857142857
factors,"[3, 5]",0.3333333333333333
below,200,0.3333333333333333
below,1000,0.3333333333333333
factors,"[5, 3]",0.3333333333333333
below,500,0.35714285714285715
factors,"[13, 17]",0.35714285714285715
below,600,0.40476190476190477
agg,sum,0.4897959183673469
