var,val,success_rate
factor1,11,0.2285339332583427
factor2,3,0.44791901012373453
factor1_result,Pling,0.45092800899887514
factor2_result,Buzz,0.46816647919010124
factor3,7,0.491161819058332
factor1_result,Plang,0.49850018747656544
factor3_result,Plang,0.5014998125234346
factor2,5,0.5023622047244094
factor3_result,Buzz,0.5036557930258717
factor2_result,Pling,0.5338582677165354
factor3_result,Plong,0.5374417483528845
factor3,5,0.5397919010123734
factor1,13,0.5569660935240238
factor3,11,0.5613048368953881
factor2_result,Plang,0.5677727784026997
factor1_result,Fizz,0.5688574642455407
factor2,11,0.6324521934758155
factor1,3,0.6742125984251969
