var,val,success_rate
input,"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5, 2, 2, 2, 1, 1, 1, 1]]",0.2916666666666667
count,5,0.34523809523809523
sum_num,5,0.4107142857142857
sum_num,0,0.44642857142857145
input,"[[-1, -2, 3, 4, 5, 7, 8]]",0.4513888888888889
count,8,0.4523809523809524
example_input,[1],0.4603174603174603
example_input,"[1, 3, 5, 0]",0.47619047619047616
count,4,0.47619047619047616
sum_num,3,0.47619047619047616
input,"[[2, 4, -5, 3, 9, 7]]",0.5138888888888888
count,3,0.5178571428571429
example_input,"[1, 3, -2, 1, 5, 8]",0.5198412698412699
input,"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",0.5208333333333334
input,"[[-9, -8, -7, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]]",0.5208333333333334
sum_num,2,0.5416666666666666
example_input,"[1, 2, -3, 7, 2, 7]",0.5634920634920635
sum_num,1,0.5654761904761905
sum_num,100,0.5892857142857143
input,"[[10, 10, 10, 10, 10, 10, 10, 10, 20, 30, 40]]",0.5972222222222222
count,10,0.6011904761904762
count,2,0.6369047619047619
input,"[[1, 3, 5, 0]]",0.6388888888888888
