var,val,success_rate
ret_index,twelfth,0.0030864197530864196
ret_index,eleventh,0.004629629629629629
cmp_index,eleventh,0.044753086419753084
cmp_index,twelfth,0.09722222222222222
cmp_index,last,0.1111111111111111
cmp,smallest,0.13220164609053497
func_name,fibonacci,0.15895061728395063
ret_index,last,0.16049382716049382
func_name,extract_value,0.1743827160493827
func_name,tuple_extract,0.18055555555555555
func_name,some_func,0.18981481481481483
func_name,min_max,0.21141975308641975
func_name,f,0.23148148148148148
cmp,largest,0.25
ret_index,third,0.2623456790123457
cmp_index,second,0.2700617283950617
cmp_index,third,0.30401234567901236
cmp_index,first,0.3194444444444444
ret_index,second,0.345679012345679
ret_index,first,0.37037037037037035
