offset_char,mod,input,result,result_emojis,model_output,model_input
the space character,64,123,p,✅,outputs/checksum/0/0.py,input/checksum/0.txt
the space character,64,abc,p,✅,outputs/checksum/0/0.py,input/checksum/0.txt
the space character,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/0/0.py,input/checksum/0.txt
the space character,128,123,p,✅,outputs/checksum/1/0.py,input/checksum/1.txt
the space character,128,abc,p,✅,outputs/checksum/1/0.py,input/checksum/1.txt
the space character,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/1/0.py,input/checksum/1.txt
the space character,256,123,p,✅,outputs/checksum/2/0.py,input/checksum/2.txt
the space character,256,abc,p,✅,outputs/checksum/2/0.py,input/checksum/2.txt
the space character,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/2/0.py,input/checksum/2.txt
the newline character,64,123,p,✅,outputs/checksum/3/0.py,input/checksum/3.txt
the newline character,64,abc,p,✅,outputs/checksum/3/0.py,input/checksum/3.txt
the newline character,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/3/0.py,input/checksum/3.txt
the newline character,128,123,p,✅,outputs/checksum/4/0.py,input/checksum/4.txt
the newline character,128,abc,p,✅,outputs/checksum/4/0.py,input/checksum/4.txt
the newline character,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/4/0.py,input/checksum/4.txt
the newline character,256,123,p,✅,outputs/checksum/5/0.py,input/checksum/5.txt
the newline character,256,abc,p,✅,outputs/checksum/5/0.py,input/checksum/5.txt
the newline character,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/5/0.py,input/checksum/5.txt
uppercase X,64,123,p,✅,outputs/checksum/6/0.py,input/checksum/6.txt
uppercase X,64,abc,p,✅,outputs/checksum/6/0.py,input/checksum/6.txt
uppercase X,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/6/0.py,input/checksum/6.txt
uppercase X,128,123,p,✅,outputs/checksum/7/0.py,input/checksum/7.txt
uppercase X,128,abc,p,✅,outputs/checksum/7/0.py,input/checksum/7.txt
uppercase X,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/7/0.py,input/checksum/7.txt
uppercase X,256,123,p,✅,outputs/checksum/8/0.py,input/checksum/8.txt
uppercase X,256,abc,p,✅,outputs/checksum/8/0.py,input/checksum/8.txt
uppercase X,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/8/0.py,input/checksum/8.txt
lowercase u,64,123,p,✅,outputs/checksum/9/0.py,input/checksum/9.txt
lowercase u,64,abc,p,✅,outputs/checksum/9/0.py,input/checksum/9.txt
lowercase u,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/9/0.py,input/checksum/9.txt
lowercase u,128,123,p,✅,outputs/checksum/10/0.py,input/checksum/10.txt
lowercase u,128,abc,p,✅,outputs/checksum/10/0.py,input/checksum/10.txt
lowercase u,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/10/0.py,input/checksum/10.txt
lowercase u,256,123,p,✅,outputs/checksum/11/0.py,input/checksum/11.txt
lowercase u,256,abc,p,✅,outputs/checksum/11/0.py,input/checksum/11.txt
lowercase u,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/11/0.py,input/checksum/11.txt
an exclamation mark,64,123,p,✅,outputs/checksum/12/0.py,input/checksum/12.txt
an exclamation mark,64,abc,p,✅,outputs/checksum/12/0.py,input/checksum/12.txt
an exclamation mark,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/12/0.py,input/checksum/12.txt
an exclamation mark,128,123,p,✅,outputs/checksum/13/0.py,input/checksum/13.txt
an exclamation mark,128,abc,p,✅,outputs/checksum/13/0.py,input/checksum/13.txt
an exclamation mark,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/13/0.py,input/checksum/13.txt
an exclamation mark,256,123,p,✅,outputs/checksum/14/0.py,input/checksum/14.txt
an exclamation mark,256,abc,p,✅,outputs/checksum/14/0.py,input/checksum/14.txt
an exclamation mark,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/14/0.py,input/checksum/14.txt
a question mark,64,123,p,✅,outputs/checksum/15/0.py,input/checksum/15.txt
a question mark,64,abc,p,✅,outputs/checksum/15/0.py,input/checksum/15.txt
a question mark,64,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/15/0.py,input/checksum/15.txt
a question mark,128,123,p,✅,outputs/checksum/16/0.py,input/checksum/16.txt
a question mark,128,abc,p,✅,outputs/checksum/16/0.py,input/checksum/16.txt
a question mark,128,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/16/0.py,input/checksum/16.txt
a question mark,256,123,p,✅,outputs/checksum/17/0.py,input/checksum/17.txt
a question mark,256,abc,p,✅,outputs/checksum/17/0.py,input/checksum/17.txt
a question mark,256,"ffjeojf3rfh4hg4uihg438gh4hf,.,.,.rf43",p,✅,outputs/checksum/17/0.py,input/checksum/17.txt
