hash_type,transform,example_input,input,result,result_emojis,model_output,model_input
md5,none,,Hello world,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,,A B C,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,,password,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,,,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,Hello world,Hello world,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,none,Hello world,A B C,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,none,Hello world,password,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,none,Hello world,,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,none,Hallo welt,Hello world,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,none,Hallo welt,A B C,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,none,Hallo welt,password,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,none,Hallo welt,,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,none,0,Hello world,e,💀,outputs/hash/3/0.py,input/hash/3.txt
md5,none,0,A B C,e,💀,outputs/hash/3/0.py,input/hash/3.txt
md5,none,0,password,e,💀,outputs/hash/3/0.py,input/hash/3.txt
md5,none,0,,p,✅,outputs/hash/3/0.py,input/hash/3.txt
md5,none,sha1,Hello world,p,✅,outputs/hash/4/0.py,input/hash/4.txt
md5,none,sha1,A B C,p,✅,outputs/hash/4/0.py,input/hash/4.txt
md5,none,sha1,password,p,✅,outputs/hash/4/0.py,input/hash/4.txt
md5,none,sha1,,p,✅,outputs/hash/4/0.py,input/hash/4.txt
md5,none,md5,Hello world,p,✅,outputs/hash/5/0.py,input/hash/5.txt
md5,none,md5,A B C,p,✅,outputs/hash/5/0.py,input/hash/5.txt
md5,none,md5,password,p,✅,outputs/hash/5/0.py,input/hash/5.txt
md5,none,md5,,p,✅,outputs/hash/5/0.py,input/hash/5.txt
md5,uppercase,,Hello world,p,✅,outputs/hash/6/0.py,input/hash/6.txt
md5,uppercase,,A B C,p,✅,outputs/hash/6/0.py,input/hash/6.txt
md5,uppercase,,password,p,✅,outputs/hash/6/0.py,input/hash/6.txt
md5,uppercase,,,p,✅,outputs/hash/6/0.py,input/hash/6.txt
md5,uppercase,Hello world,Hello world,p,✅,outputs/hash/7/0.py,input/hash/7.txt
md5,uppercase,Hello world,A B C,p,✅,outputs/hash/7/0.py,input/hash/7.txt
md5,uppercase,Hello world,password,p,✅,outputs/hash/7/0.py,input/hash/7.txt
md5,uppercase,Hello world,,p,✅,outputs/hash/7/0.py,input/hash/7.txt
md5,uppercase,Hallo welt,Hello world,p,✅,outputs/hash/8/0.py,input/hash/8.txt
md5,uppercase,Hallo welt,A B C,p,✅,outputs/hash/8/0.py,input/hash/8.txt
md5,uppercase,Hallo welt,password,p,✅,outputs/hash/8/0.py,input/hash/8.txt
md5,uppercase,Hallo welt,,p,✅,outputs/hash/8/0.py,input/hash/8.txt
md5,uppercase,0,Hello world,p,✅,outputs/hash/9/0.py,input/hash/9.txt
md5,uppercase,0,A B C,p,✅,outputs/hash/9/0.py,input/hash/9.txt
md5,uppercase,0,password,p,✅,outputs/hash/9/0.py,input/hash/9.txt
md5,uppercase,0,,p,✅,outputs/hash/9/0.py,input/hash/9.txt
md5,uppercase,sha1,Hello world,p,✅,outputs/hash/10/0.py,input/hash/10.txt
md5,uppercase,sha1,A B C,p,✅,outputs/hash/10/0.py,input/hash/10.txt
md5,uppercase,sha1,password,p,✅,outputs/hash/10/0.py,input/hash/10.txt
md5,uppercase,sha1,,p,✅,outputs/hash/10/0.py,input/hash/10.txt
md5,uppercase,md5,Hello world,p,✅,outputs/hash/11/0.py,input/hash/11.txt
md5,uppercase,md5,A B C,p,✅,outputs/hash/11/0.py,input/hash/11.txt
md5,uppercase,md5,password,p,✅,outputs/hash/11/0.py,input/hash/11.txt
md5,uppercase,md5,,p,✅,outputs/hash/11/0.py,input/hash/11.txt
md5,dash,,Hello world,p,✅,outputs/hash/12/0.py,input/hash/12.txt
md5,dash,,A B C,p,✅,outputs/hash/12/0.py,input/hash/12.txt
md5,dash,,password,p,✅,outputs/hash/12/0.py,input/hash/12.txt
md5,dash,,,p,✅,outputs/hash/12/0.py,input/hash/12.txt
md5,dash,Hello world,Hello world,p,✅,outputs/hash/13/0.py,input/hash/13.txt
md5,dash,Hello world,A B C,p,✅,outputs/hash/13/0.py,input/hash/13.txt
md5,dash,Hello world,password,p,✅,outputs/hash/13/0.py,input/hash/13.txt
md5,dash,Hello world,,p,✅,outputs/hash/13/0.py,input/hash/13.txt
md5,dash,Hallo welt,Hello world,p,✅,outputs/hash/14/0.py,input/hash/14.txt
md5,dash,Hallo welt,A B C,p,✅,outputs/hash/14/0.py,input/hash/14.txt
md5,dash,Hallo welt,password,p,✅,outputs/hash/14/0.py,input/hash/14.txt
md5,dash,Hallo welt,,p,✅,outputs/hash/14/0.py,input/hash/14.txt
md5,dash,0,Hello world,e,💀,outputs/hash/15/0.py,input/hash/15.txt
md5,dash,0,A B C,e,💀,outputs/hash/15/0.py,input/hash/15.txt
md5,dash,0,password,e,💀,outputs/hash/15/0.py,input/hash/15.txt
md5,dash,0,,p,✅,outputs/hash/15/0.py,input/hash/15.txt
md5,dash,sha1,Hello world,p,✅,outputs/hash/16/0.py,input/hash/16.txt
md5,dash,sha1,A B C,p,✅,outputs/hash/16/0.py,input/hash/16.txt
md5,dash,sha1,password,p,✅,outputs/hash/16/0.py,input/hash/16.txt
md5,dash,sha1,,p,✅,outputs/hash/16/0.py,input/hash/16.txt
md5,dash,md5,Hello world,p,✅,outputs/hash/17/0.py,input/hash/17.txt
md5,dash,md5,A B C,p,✅,outputs/hash/17/0.py,input/hash/17.txt
