op,step,example_input,input,result,result_emojis,model_output,model_input,expected,actual
incr,0,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/0/0.py,input/incr_list/0.txt,,
incr,0,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/0/0.py,input/incr_list/0.txt,,
incr,0,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/0/0.py,input/incr_list/0.txt,,
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/1/0.py,input/incr_list/1.txt,,
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/1/0.py,input/incr_list/1.txt,,
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/1/0.py,input/incr_list/1.txt,,
incr,1,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/2/0.py,input/incr_list/2.txt,,
incr,1,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/2/0.py,input/incr_list/2.txt,,
incr,1,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/2/0.py,input/incr_list/2.txt,,
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/3/0.py,input/incr_list/3.txt,,
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/3/0.py,input/incr_list/3.txt,,
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/3/0.py,input/incr_list/3.txt,,
incr,2,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/4/0.py,input/incr_list/4.txt,,
incr,2,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/4/0.py,input/incr_list/4.txt,,
incr,2,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/4/0.py,input/incr_list/4.txt,,
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/5/0.py,input/incr_list/5.txt,,
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/5/0.py,input/incr_list/5.txt,,
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/5/0.py,input/incr_list/5.txt,,
incr,100,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/6/0.py,input/incr_list/6.txt,,
incr,100,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/6/0.py,input/incr_list/6.txt,,
incr,100,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/6/0.py,input/incr_list/6.txt,,
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/7/0.py,input/incr_list/7.txt,,
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/7/0.py,input/incr_list/7.txt,,
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/7/0.py,input/incr_list/7.txt,,
incr,9999,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/8/0.py,input/incr_list/8.txt,,
incr,9999,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/8/0.py,input/incr_list/8.txt,,
incr,9999,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/8/0.py,input/incr_list/8.txt,,
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/9/0.py,input/incr_list/9.txt,,
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/9/0.py,input/incr_list/9.txt,,
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/9/0.py,input/incr_list/9.txt,,
incr,3829893478785784890248,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/10/0.py,input/incr_list/10.txt,,
incr,3829893478785784890248,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/10/0.py,input/incr_list/10.txt,,
incr,3829893478785784890248,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/10/0.py,input/incr_list/10.txt,,
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/11/0.py,input/incr_list/11.txt,,
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/11/0.py,input/incr_list/11.txt,,
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/11/0.py,input/incr_list/11.txt,,
decr,0,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/12/0.py,input/incr_list/12.txt,,
decr,0,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/12/0.py,input/incr_list/12.txt,,
decr,0,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/12/0.py,input/incr_list/12.txt,,
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/13/0.py,input/incr_list/13.txt,,
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,outputs/incr_list/13/0.py,input/incr_list/13.txt,"[3, 2, 1]","[2, 1, 0]"
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,outputs/incr_list/13/0.py,input/incr_list/13.txt,"[5, 2, 5, 2, 3, 3, 9, 0, 123]","[4, 1, 4, 1, 2, 2, 8, -1, 122]"
decr,1,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/14/0.py,input/incr_list/14.txt,,
decr,1,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/14/0.py,input/incr_list/14.txt,,
decr,1,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/14/0.py,input/incr_list/14.txt,,
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/15/0.py,input/incr_list/15.txt,,
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/15/0.py,input/incr_list/15.txt,,
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/15/0.py,input/incr_list/15.txt,,
decr,2,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/16/0.py,input/incr_list/16.txt,,
decr,2,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/16/0.py,input/incr_list/16.txt,,
decr,2,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/16/0.py,input/incr_list/16.txt,,
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/17/0.py,input/incr_list/17.txt,,
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/17/0.py,input/incr_list/17.txt,,
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/17/0.py,input/incr_list/17.txt,,
decr,100,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/18/0.py,input/incr_list/18.txt,,
decr,100,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/18/0.py,input/incr_list/18.txt,,
decr,100,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/18/0.py,input/incr_list/18.txt,,
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,outputs/incr_list/19/0.py,input/incr_list/19.txt,,
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,outputs/incr_list/19/0.py,input/incr_list/19.txt,,
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/19/0.py,input/incr_list/19.txt,,
decr,9999,"[1, 2, 3]",[[]],p,✅,outputs/incr_list/20/0.py,input/incr_list/20.txt,,
decr,9999,"[1, 2, 3]","[[3, 2, 1]]",p,✅,outputs/incr_list/20/0.py,input/incr_list/20.txt,,
decr,9999,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,outputs/incr_list/20/0.py,input/incr_list/20.txt,,
