pos_ret,neg_ret,sep,case,input,result,result_emojis,model_input,expected,actual
True,False,an underscore,uppercase,aab_cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB_CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,aab__cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB__CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,aab______cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB______CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,aab?cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB?CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,aab+cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB+CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,aab-cbbbc,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,uppercase,AAB-CBBC,p,✅,input/joined_seq/14.txt,,
True,False,an underscore,lowercase,aab_cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB_CBBC,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,aab__cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB__CBBC,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,aab______cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB______CBBC,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,aab?cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB?CBBC,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,aab+cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB+CBBC,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,aab-cbbbc,p,✅,input/joined_seq/15.txt,,
True,False,an underscore,lowercase,AAB-CBBC,p,✅,input/joined_seq/15.txt,,
True,False,two underscores,uppercase,aab_cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB_CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,aab__cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB__CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,aab______cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB______CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,aab?cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB?CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,aab+cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB+CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,aab-cbbbc,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,uppercase,AAB-CBBC,p,✅,input/joined_seq/16.txt,,
True,False,two underscores,lowercase,aab_cbbbc,p,✅,input/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB_CBBC,p,✅,input/joined_seq/17.txt,,
True,False,two underscores,lowercase,aab__cbbbc,p,✅,input/joined_seq/17.txt,,
True,False,two underscores,lowercase,AAB__CBBC,p,✅,input/joined_seq/17.txt,,
