sum_num,count,example_input,input,result,result_emojis,model_output,model_input,expected,actual
0,2,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/0/0.py,input/triples_sum_to/0.txt,,
0,2,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/0/0.py,input/triples_sum_to/0.txt,,
0,2,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/0/0.py,input/triples_sum_to/0.txt,,
0,2,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/0/0.py,input/triples_sum_to/0.txt,,
0,2,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/0/0.py,input/triples_sum_to/0.txt,,
0,2,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/1/0.py,input/triples_sum_to/1.txt,,
0,2,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/1/0.py,input/triples_sum_to/1.txt,,
0,2,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/1/0.py,input/triples_sum_to/1.txt,,
0,2,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/1/0.py,input/triples_sum_to/1.txt,,
0,2,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/1/0.py,input/triples_sum_to/1.txt,,
0,2,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/2/0.py,input/triples_sum_to/2.txt,,
0,2,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/2/0.py,input/triples_sum_to/2.txt,,
