ret_index,cmp_index,cmp,func_name,input,result,result_emojis,model_input,expected,actual
first,first,smallest,extract_value,"[[(85, 22, 29, 69, 49, 35, 59, 66, 55, 71, 35, 91)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(76, 81, 53, 14, 20, 48, 37, 29, 59, 99, 56, 91), (78, 88, 58, 36, 77, 67, 85, 59, 77, 86, 18, 34)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(88, 80, 90, 79, 55, 0, 98, 74, 39, 80, 36, 30), (73, 2, 38, 31, 71, 94, 13, 71, 51, 21, 20, 28), (69, 90, 40, 89, 38, 81, 36, 25, 34, 66, 17, 83)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(44, 18, 93, 41, 38, 41, 71, 18, 72, 48, 41, 100), (22, 3, 0, 70, 75, 10, 61, 92, 27, 15, 76, 26), (91, 70, 78, 90, 84, 54, 53, 37, 100, 44, 0, 35), (75, 31, 6, 57, 83, 56, 47, 2, 87, 43, 21, 54)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(55, 45, 20, 10, 39, 16, 51, 76, 40, 86, 51, 37), (55, 27, 14, 47, 67, 13, 89, 13, 35, 18, 29, 86), (75, 52, 27, 42, 88, 51, 59, 79, 70, 62, 17, 92), (4, 70, 86, 0, 82, 20, 71, 79, 96, 33, 81, 72), (54, 79, 90, 64, 15, 80, 15, 79, 25, 80, 36, 51)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(36, 76, 35, 95, 62, 76, 14, 7, 18, 33, 83, 15), (24, 88, 82, 53, 57, 56, 66, 27, 21, 32, 38, 62), (3, 23, 45, 20, 76, 84, 68, 6, 74, 97, 74, 99), (95, 0, 61, 100, 96, 64, 78, 31, 18, 57, 84, 27), (93, 19, 5, 98, 31, 58, 15, 45, 20, 15, 3, 95), (9, 89, 48, 77, 16, 27, 55, 15, 44, 46, 87, 43)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(0, 57, 92, 63, 8, 46, 28, 55, 89, 59, 0, 24), (66, 52, 63, 23, 82, 82, 74, 86, 30, 98, 17, 9), (99, 49, 17, 87, 6, 23, 10, 26, 23, 100, 7, 41), (91, 96, 84, 91, 95, 82, 8, 85, 7, 50, 22, 64), (76, 91, 26, 93, 69, 1, 86, 67, 34, 56, 18, 55), (19, 63, 48, 93, 29, 57, 32, 6, 43, 51, 42, 7), (60, 27, 3, 3, 13, 8, 43, 30, 68, 74, 44, 12)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(46, 2, 66, 46, 7, 17, 32, 83, 16, 97, 91, 76), (52, 100, 53, 21, 58, 90, 10, 51, 20, 97, 71, 81), (24, 46, 71, 3, 27, 29, 39, 61, 4, 90, 93, 60), (89, 30, 23, 20, 68, 13, 69, 63, 16, 54, 73, 95), (18, 8, 35, 69, 10, 82, 88, 31, 88, 49, 88, 89), (22, 38, 74, 19, 87, 80, 6, 82, 89, 100, 30, 98), (34, 20, 3, 85, 51, 97, 94, 79, 12, 36, 46, 48), (84, 32, 84, 43, 48, 50, 1, 26, 34, 24, 55, 54)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,extract_value,"[[(24, 95, 2, 18, 42, 34, 43, 36, 55, 3, 89, 91), (41, 90, 2, 33, 42, 92, 38, 13, 80, 68, 9, 21), (93, 48, 43, 8, 32, 53, 76, 86, 55, 70, 9, 28), (82, 60, 75, 49, 9, 50, 25, 95, 56, 32, 14, 77), (27, 84, 9, 72, 81, 97, 72, 58, 58, 24, 43, 41), (58, 86, 13, 80, 94, 83, 79, 9, 57, 77, 42, 13), (76, 26, 37, 32, 92, 39, 55, 61, 91, 93, 76, 71), (64, 48, 67, 40, 27, 25, 41, 75, 6, 81, 12, 84), (64, 19, 28, 70, 18, 33, 62, 61, 48, 63, 20, 4)]]",p,✅,input/tuple_list/0.txt,,
first,first,smallest,tuple_extract,"[[(85, 22, 29, 69, 49, 35, 59, 66, 55, 71, 35, 91)]]",p,✅,input/tuple_list/1.txt,,
first,first,smallest,tuple_extract,"[[(76, 81, 53, 14, 20, 48, 37, 29, 59, 99, 56, 91), (78, 88, 58, 36, 77, 67, 85, 59, 77, 86, 18, 34)]]",p,✅,input/tuple_list/1.txt,,
first,first,smallest,tuple_extract,"[[(88, 80, 90, 79, 55, 0, 98, 74, 39, 80, 36, 30), (73, 2, 38, 31, 71, 94, 13, 71, 51, 21, 20, 28), (69, 90, 40, 89, 38, 81, 36, 25, 34, 66, 17, 83)]]",p,✅,input/tuple_list/1.txt,,
first,first,smallest,tuple_extract,"[[(44, 18, 93, 41, 38, 41, 71, 18, 72, 48, 41, 100), (22, 3, 0, 70, 75, 10, 61, 92, 27, 15, 76, 26), (91, 70, 78, 90, 84, 54, 53, 37, 100, 44, 0, 35), (75, 31, 6, 57, 83, 56, 47, 2, 87, 43, 21, 54)]]",p,✅,input/tuple_list/1.txt,,
