var,val,success_rate
var1_name,b,0.35185185185185186
var2_name,a,0.3697674418604651
input,"[3, 5]",0.38095238095238093
input,"[7, 10]",0.38095238095238093
input,"[0, 1]",0.38095238095238093
input,"[100, 20]",0.38095238095238093
line_order2,first,0.3869047619047619
op3,product,0.3904382470119522
line_order3,second,0.3944223107569721
line_order1,third,0.3948412698412698
op1,sum,0.4027777777777778
op2,difference,0.4087301587301587
input,"[1, 0]",0.46215139442231074
line_order1,second,0.48412698412698413
line_order2,third,0.49203187250996017
line_order3,first,0.49206349206349204
op1,difference,0.4940239043824701
var1_name,a,0.4976851851851852
op2,product,0.5059523809523809
op3,sum,0.5119047619047619
var2_name,fekjfwoeifjwu5gfd,0.5185185185185185
op2,sum,0.549800796812749
var2_name,b,0.5601851851851852
op3,difference,0.5615079365079365
op1,product,0.5674603174603174
var1_name,fkrjf4ifji4ofj,0.5727554179566563
line_order3,third,0.5773809523809523
line_order2,second,0.5853174603174603
line_order1,first,0.5856573705179283
input,"[0, 0]",0.9442231075697212
