var,val,success_rate
agg,product,0.2805755395683453
factors,"[3, 5]",0.42857142857142855
factors,"[5, 3]",0.42857142857142855
below,100,0.47619047619047616
factors,"[2, 5]",0.5238095238095238
factors,"[5, 3, 2]",0.5238095238095238
below,1000,0.5789473684210527
example_below,10,0.6063829787234043
below,500,0.625
input,None,0.6258741258741258
example_below,15,0.6296296296296297
factors,"[13, 17]",0.6428571428571429
example_below,5,0.6428571428571429
below,200,0.6585365853658537
below,600,0.6585365853658537
below,124,0.6666666666666666
factors,"[2, 3, 5]",0.6666666666666666
below,197,0.7142857142857143
agg,sum,0.9523809523809523
factors,"[5, 7, 9]",1.0
factors,"[2, 9]",1.0
