var,val,success_rate
count,5,0.8
input,"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",0.8541666666666666
input,"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",0.8958333333333334
sum_num,2,0.9
sum_num,5,0.9
example_input,"[1, 3, 5, 0]",0.9416666666666667
example_input,"[1, 3, -2, 1, 5, 8]",0.9416666666666667
sum_num,0,0.95
sum_num,3,0.95
example_input,"[1, 2, -3, 7, 2, 7]",0.9583333333333334
example_input,[1],0.9583333333333334
count,2,1.0
input,"[[1, 3, 5, 0]]",1.0
input,"[[2, 4, -5, 3, 9, 7]]",1.0
input,"[[-1, -2, 3, 4, 5, 7, 8]]",1.0
count,3,1.0
count,4,1.0
sum_num,1,1.0
sum_num,100,1.0
