hash_type,transform,example_input,input,result,result_emojis,model_output,model_input,expected,actual
md5,none,,Hello world,p,✅,outputs/tlh/hash/0/0.py,input/tlh/hash/0.txt,,
md5,none,,A B C,p,✅,outputs/tlh/hash/0/0.py,input/tlh/hash/0.txt,,
md5,none,,password,p,✅,outputs/tlh/hash/0/0.py,input/tlh/hash/0.txt,,
md5,none,,,f,❌,outputs/tlh/hash/0/0.py,input/tlh/hash/0.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,none,Hello world,Hello world,p,✅,outputs/tlh/hash/1/0.py,input/tlh/hash/1.txt,,
md5,none,Hello world,A B C,p,✅,outputs/tlh/hash/1/0.py,input/tlh/hash/1.txt,,
md5,none,Hello world,password,p,✅,outputs/tlh/hash/1/0.py,input/tlh/hash/1.txt,,
md5,none,Hello world,,f,❌,outputs/tlh/hash/1/0.py,input/tlh/hash/1.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,none,Hallo welt,Hello world,p,✅,outputs/tlh/hash/2/0.py,input/tlh/hash/2.txt,,
md5,none,Hallo welt,A B C,p,✅,outputs/tlh/hash/2/0.py,input/tlh/hash/2.txt,,
md5,none,Hallo welt,password,p,✅,outputs/tlh/hash/2/0.py,input/tlh/hash/2.txt,,
md5,none,Hallo welt,,f,❌,outputs/tlh/hash/2/0.py,input/tlh/hash/2.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,none,0,Hello world,p,✅,outputs/tlh/hash/3/0.py,input/tlh/hash/3.txt,,
md5,none,0,A B C,p,✅,outputs/tlh/hash/3/0.py,input/tlh/hash/3.txt,,
md5,none,0,password,p,✅,outputs/tlh/hash/3/0.py,input/tlh/hash/3.txt,,
md5,none,0,,f,❌,outputs/tlh/hash/3/0.py,input/tlh/hash/3.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,none,sha1,Hello world,p,✅,outputs/tlh/hash/4/0.py,input/tlh/hash/4.txt,,
md5,none,sha1,A B C,p,✅,outputs/tlh/hash/4/0.py,input/tlh/hash/4.txt,,
md5,none,sha1,password,p,✅,outputs/tlh/hash/4/0.py,input/tlh/hash/4.txt,,
md5,none,sha1,,f,❌,outputs/tlh/hash/4/0.py,input/tlh/hash/4.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,none,md5,Hello world,p,✅,outputs/tlh/hash/5/0.py,input/tlh/hash/5.txt,,
md5,none,md5,A B C,p,✅,outputs/tlh/hash/5/0.py,input/tlh/hash/5.txt,,
md5,none,md5,password,p,✅,outputs/tlh/hash/5/0.py,input/tlh/hash/5.txt,,
md5,none,md5,,f,❌,outputs/tlh/hash/5/0.py,input/tlh/hash/5.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,,Hello world,p,✅,outputs/tlh/hash/6/0.py,input/tlh/hash/6.txt,,
md5,uppercase,,A B C,p,✅,outputs/tlh/hash/6/0.py,input/tlh/hash/6.txt,,
md5,uppercase,,password,p,✅,outputs/tlh/hash/6/0.py,input/tlh/hash/6.txt,,
md5,uppercase,,,f,❌,outputs/tlh/hash/6/0.py,input/tlh/hash/6.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,Hello world,Hello world,p,✅,outputs/tlh/hash/7/0.py,input/tlh/hash/7.txt,,
md5,uppercase,Hello world,A B C,p,✅,outputs/tlh/hash/7/0.py,input/tlh/hash/7.txt,,
md5,uppercase,Hello world,password,p,✅,outputs/tlh/hash/7/0.py,input/tlh/hash/7.txt,,
md5,uppercase,Hello world,,f,❌,outputs/tlh/hash/7/0.py,input/tlh/hash/7.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,Hallo welt,Hello world,p,✅,outputs/tlh/hash/8/0.py,input/tlh/hash/8.txt,,
md5,uppercase,Hallo welt,A B C,p,✅,outputs/tlh/hash/8/0.py,input/tlh/hash/8.txt,,
md5,uppercase,Hallo welt,password,p,✅,outputs/tlh/hash/8/0.py,input/tlh/hash/8.txt,,
md5,uppercase,Hallo welt,,f,❌,outputs/tlh/hash/8/0.py,input/tlh/hash/8.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,0,Hello world,p,✅,outputs/tlh/hash/9/0.py,input/tlh/hash/9.txt,,
md5,uppercase,0,A B C,p,✅,outputs/tlh/hash/9/0.py,input/tlh/hash/9.txt,,
md5,uppercase,0,password,p,✅,outputs/tlh/hash/9/0.py,input/tlh/hash/9.txt,,
md5,uppercase,0,,f,❌,outputs/tlh/hash/9/0.py,input/tlh/hash/9.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,sha1,Hello world,p,✅,outputs/tlh/hash/10/0.py,input/tlh/hash/10.txt,,
md5,uppercase,sha1,A B C,p,✅,outputs/tlh/hash/10/0.py,input/tlh/hash/10.txt,,
md5,uppercase,sha1,password,p,✅,outputs/tlh/hash/10/0.py,input/tlh/hash/10.txt,,
md5,uppercase,sha1,,f,❌,outputs/tlh/hash/10/0.py,input/tlh/hash/10.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,uppercase,md5,Hello world,p,✅,outputs/tlh/hash/11/0.py,input/tlh/hash/11.txt,,
md5,uppercase,md5,A B C,p,✅,outputs/tlh/hash/11/0.py,input/tlh/hash/11.txt,,
md5,uppercase,md5,password,p,✅,outputs/tlh/hash/11/0.py,input/tlh/hash/11.txt,,
md5,uppercase,md5,,f,❌,outputs/tlh/hash/11/0.py,input/tlh/hash/11.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,,Hello world,p,✅,outputs/tlh/hash/12/0.py,input/tlh/hash/12.txt,,
md5,dash,,A B C,p,✅,outputs/tlh/hash/12/0.py,input/tlh/hash/12.txt,,
md5,dash,,password,p,✅,outputs/tlh/hash/12/0.py,input/tlh/hash/12.txt,,
md5,dash,,,f,❌,outputs/tlh/hash/12/0.py,input/tlh/hash/12.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,Hello world,Hello world,p,✅,outputs/tlh/hash/13/0.py,input/tlh/hash/13.txt,,
